Date,Open,High,Low,Close,Adj Close,Volume,CAGR,annual avg of CAGR over all time,S&P annual CAGR,BRK annual CARG,BRK vs SP500
2008-03-01,92.040001,92.400002,84.599998,89.459999,89.459999,22560000,7.46%,,,,
2008-04-01,90,90.379997,84.239998,89.139999,89.139999,20670000,7.70%,,,,
2008-05-01,89.18,90.400002,80.699997,89.959999,89.959999,41065000,7.83%,,,,
2008-06-01,89.68,90.400002,79.599998,80.239998,80.239998,23595000,7.84%,,,,
2008-07-01,79.639999,81.839996,74.019997,76.580002,76.580002,30770000,8.92%,,,,
2008-08-01,76.900002,80,75.099998,78.040001,78.040001,21225000,9.29%,,,,
2008-09-01,78.5,91.900002,76.400002,87.900002,87.900002,36205000,9.17%,,,,
2008-10-01,88.199997,94,60,76.800003,76.800003,62155000,8.20%,,,,
2008-11-01,76,79.379997,49.02,69.980003,69.980003,58805000,9.60%,,,,
2008-12-01,65,71.199997,60,64.279999,64.279999,37155000,11.09%,8.48%,-37.22%,-33.75%,
2009-01-01,64.099998,68.32,50.02,59.779999,59.779999,30705000,11.30%,,,,
2009-02-01,57.799999,68.400002,44.82,51.279999,51.279999,48975000,12.36%,,,,
2009-03-01,47.700001,59.779999,45.02,56.400002,56.400002,56350000,14.29%,,,,
2009-04-01,55.299999,63.099998,55.099998,61.299999,61.299999,38985000,12.97%,,,,
2009-05-01,61.099998,62.82,56.919998,59.439999,59.439999,32400000,12.10%,,,,
2009-06-01,59.709999,60.540001,54.82,57.919998,57.919998,29990000,12.42%,,,,
2009-07-01,57.939999,64,54.66,63.610001,63.610001,37460000,12.81%,,,,
2009-08-01,64.019997,71.379997,63.099998,65.720001,65.720001,35825000,11.93%,,,,
2009-09-01,65.860001,69,63.619999,66.459999,66.459999,29385000,11.74%,,,,
2009-10-01,65.629997,67.209999,64.220001,65.660004,65.660004,35325000,11.87%,,,,
2009-11-01,65.599998,70,64.82,67.059998,67.059998,44670000,11.96%,,,,
2009-12-01,67.459999,67.459999,65.220001,65.720001,65.720001,35040000,11.78%,12.29%,27.11%,5.73%,
2010-01-01,66,77.790001,64.720001,76.43,76.43,121830600,12.09%,,,,
2010-02-01,77.790001,80.18,71.610001,80.129997,80.129997,565057700,10.52%,,,,
2010-03-01,79.989998,83.57,79.139999,81.269997,81.269997,154218600,10.32%,,,,
2010-04-01,81.599998,81.949997,75.519997,77,77,92127400,10.20%,,,,
2010-05-01,77.699997,78.800003,68.480003,70.550003,70.550003,122890600,10.79%,,,,
2010-06-01,70.050003,81.900002,69.610001,79.690002,79.690002,282968800,11.97%,,,,
2010-07-01,79.559998,80.230003,76.209999,78.120003,78.120003,142378000,10.72%,,,,
2010-08-01,78.779999,80.900002,75.620003,78.779999,78.779999,119398600,10.91%,,,,
2010-09-01,79.300003,85.860001,78.989998,82.68,82.68,139519500,10.94%,,,,
2010-10-01,83.300003,84.449997,78.720001,79.559998,79.559998,92603000,10.50%,,,,
2010-11-01,79.760002,83.800003,78.82,79.68,79.68,93500500,11.06%,,,,
2010-12-01,80.720001,81.919998,79.199997,80.110001,80.110001,81550000,11.03%,10.92%,14.87%,24.56%,
2011-01-01,80.5,83.480003,79.139999,81.75,81.75,84128100,11.15%,,,,
2011-02-01,82.059998,87.650002,82.059998,87.279999,87.279999,73848900,11.04%,,,,
2011-03-01,87.540001,87.610001,80.910004,83.629997,83.629997,105971400,10.41%,,,,
2011-04-01,84.089996,84.089996,79.779999,83.300003,83.300003,78134000,10.96%,,,,
2011-05-01,82.389999,82.5,77.230003,79.07,79.07,78103900,11.29%,,,,
2011-06-01,78.760002,78.889999,73.230003,77.389999,77.389999,110372400,11.92%,,,,
2011-07-01,77.239998,78.190002,74.129997,74.169998,74.169998,94539400,12.26%,,,,
2011-08-01,75.699997,75.699997,66.510002,73,73,217963100,12.62%,,,,
2011-09-01,73.209999,74.290001,65.349998,71.040001,71.040001,174126400,13.14%,,,,
2011-10-01,71.059998,80.580002,69.07,77.860001,77.860001,158242300,13.63%,,,,
2011-11-01,76.120003,79.010002,72.599998,78.760002,78.760002,122847300,12.91%,,,,
2011-12-01,78.209999,78.900002,73.730003,76.300003,76.300003,106429200,12.70%,12.00%,2.07%,-3.10%,
2012-01-01,77.379997,80.080002,75.860001,78.370003,78.370003,83703600,12.96%,,,,
2012-02-01,78.790001,80.489998,77.889999,78.449997,78.449997,88645600,12.86%,,,,
2012-03-01,78.639999,82.470001,78.18,81.150002,81.150002,91952500,13.01%,,,,
2012-04-01,81.150002,82.029999,78.209999,80.449997,80.449997,82267700,12.74%,,,,
2012-05-01,80.470001,82.589996,78.279999,79.360001,79.360001,95266900,12.98%,,,,
2012-06-01,78.330002,83.330002,78.330002,83.330002,83.330002,94865500,13.47%,,,,
2012-07-01,83.339996,85.440002,82.139999,84.839996,84.839996,76748000,12.78%,,,,
2012-08-01,85.040001,86.010002,82.120003,84.339996,84.339996,77094700,12.65%,,,,
2012-09-01,84.400002,89.949997,84.029999,88.199997,88.199997,94139400,12.89%,,,,
2012-10-01,88.720001,90.93,86.18,86.349998,86.349998,78756500,12.34%,,,,
2012-11-01,86.639999,88.879997,83.849998,88.080002,88.080002,94389100,12.80%,,,,
2012-12-01,88.279999,90.830002,86.949997,89.699997,89.699997,103893100,12.68%,12.85%,15.88%,15.46%,
2013-01-01,91.32,97.75,91.290001,96.93,96.93,94793900,12.34%,,,,
2013-02-01,97.559998,102.330002,96.360001,102.160004,102.160004,80903100,11.55%,,,,
2013-03-01,101.449997,104.480003,100.440002,104.199997,104.199997,74033200,11.12%,,,,
2013-04-01,104.169998,108.040001,102.690002,106.32,106.32,80169100,10.87%,,,,
2013-05-01,105.970001,115,105.970001,114.07,114.07,94406100,10.74%,,,,
2013-06-01,114.760002,115.980003,109.529999,111.919998,111.919998,85956400,9.71%,,,,
2013-07-01,112.510002,119.300003,111.580002,115.870003,115.870003,69327000,10.11%,,,,
2013-08-01,116.980003,119.139999,110.720001,111.220001,111.220001,65857600,9.65%,,,,
2013-09-01,112.32,117.970001,110.720001,113.510002,113.510002,76045100,10.38%,,,,
2013-10-01,113.739998,117.699997,110.839996,115.089996,115.089996,78695800,10.31%,,,,
2013-11-01,115.279999,117.330002,113.5,116.529999,116.529999,64369900,10.23%,,,,
2013-12-01,116.5,118.660004,113.5,118.559998,118.559998,71609900,10.20%,10.60%,32.43%,30.43%,
2014-01-01,118.339996,118.5,110.849998,111.599998,111.599998,85991500,10.08%,,,,
2014-02-01,112.110001,116,108.120003,115.779999,115.779999,74687000,11.07%,,,,
2014-03-01,116.150002,125.910004,114.879997,124.970001,124.970001,90071300,10.64%,,,,
2014-04-01,125.07,129.199997,121.089996,128.850006,128.850006,74373100,9.57%,,,,
2014-05-01,128.809998,129.729996,124.059998,128.339996,128.339996,58347800,9.21%,,,,
2014-06-01,128.279999,128.75,125.440002,126.559998,126.559998,56746300,9.40%,,,,
2014-07-01,126.720001,129.389999,125.370003,125.43,125.43,52785500,9.73%,,,,
2014-08-01,125,137.25,122.720001,137.25,137.25,63594100,10.10%,,,,
2014-09-01,138.029999,142.449997,136.679993,138.139999,138.139999,69754800,8.52%,,,,
2014-10-01,138.369995,141.520004,132.029999,140.160004,140.160004,101163600,8.60%,,,,
2014-11-01,140.880005,149.490005,139.550003,148.690002,148.690002,55476900,8.40%,,,,
2014-12-01,148.610001,152.940002,144.75,150.149994,150.149994,93411200,7.58%,9.41%,13.81%,28.21%,
2015-01-01,151.5,151.690002,143.889999,143.910004,143.910004,85914800,7.34%,,,,
2015-02-01,144.130005,151.630005,143.300003,147.410004,147.410004,64107800,8.36%,,,,
2015-03-01,147.710007,147.979996,142.5,144.320007,144.320007,78754700,8.03%,,,,
2015-04-01,144.339996,144.630005,140.330002,141.210007,141.210007,61845000,8.58%,,,,
2015-05-01,142,148.570007,141.789993,143,143,59082100,9.03%,,,,
2015-06-01,143.259995,144.070007,136.080002,136.110001,136.110001,72412500,9.00%,,,,
2015-07-01,137.699997,144.690002,136.039993,142.740005,142.740005,66030400,9.93%,,,,
2015-08-01,143.110001,143.990005,125.5,134.039993,134.039993,99605200,9.31%,,,,
2015-09-01,131.789993,134.660004,127.669998,130.399994,130.399994,100652800,11.16%,,,,
2015-10-01,130.550003,138.5,127.459999,136.020004,136.020004,70190700,11.55%,,,,
2015-11-01,136.770004,138.619995,131.470001,134.089996,134.089996,60925700,10.74%,,,,
2015-12-01,134.860001,136.740005,129.529999,132.039993,132.039993,88188000,11.24%,9.52%,1.31%,-11.92%,
2016-01-01,130.160004,131.759995,123.900002,129.770004,129.770004,103400200,12.23%,,,,
2016-02-01,128.940002,135.110001,123.550003,134.169998,134.169998,96038900,12.66%,,,,
2016-03-01,135.110001,143.399994,134.320007,141.880005,141.880005,85834300,11.81%,,,,
2016-04-01,141.210007,148.029999,140.270004,145.479996,145.479996,61190900,10.99%,,,,
2016-05-01,145.770004,147.139999,139.679993,140.539993,140.539993,64492400,10.44%,,,,
2016-06-01,140.970001,146,136.649994,144.789993,144.789993,89905000,11.45%,,,,
2016-07-01,144.589996,146.990005,140.949997,144.270004,144.270004,60473600,11.05%,,,,
2016-08-01,144.619995,150.899994,142.919998,150.490005,150.490005,62482300,11.27%,,,,
2016-09-01,150.699997,151.050003,143.360001,144.470001,144.470001,79210700,10.44%,,,,
