Company,Ticker,Sector,Dividend Yield,5Y Ann. DPS Growth,DIVCON Score,Q4 2020,Q3 2020,Q2 2020,Q1 2020,S&P 500
Cimarex Energy Co,XEC,Energy,0.23%,0.69%,23,1,1,1,1,N
Advanced Energy Industries Inc,AEIS,IT,0.00%,0.00%,,,,,,N
Artisan Partners Asset Managem,APAM,Fin.,0.66%,0.24%,53.25,3,,,,N
Cresco Labs Inc,CRLBF,Health,0.00%,0.00%,,,,,,N
Seaboard Corp,SEB,Stap.,0.30%,0.00%,49,3,2,2,3,N
CIT Group Inc,CIT,Fin.,0.39%,0.18%,44.75,2,2,2,3,N
FibroGen Inc,FGEN,Health,0.00%,0.00%,,,,,,N
Gates Industrial Corp PLC,GTES,Ind.,0.00%,0.00%,,,,,,N
Sunnova Energy International I,NOVA,Utilities,0.00%,0.00%,,,,,,N
FTI Consulting Inc,FCN,Ind.,0.00%,0.00%,,,,,,N
Vertex Inc,VERX,IT,0.00%,0.00%,,,,,,N
United States Steel Corp,X,Mat.,0.24%,-0.28%,24.75,1,,,,N
Trulieve Cannabis Corp,TCNNF,Health,0.00%,0.00%,,,,,,N
Eidos Therapeutics Inc,EIDX,Health,0.00%,0.00%,,,,,,N
Ovintiv Inc,OVV,Energy,0.26%,-0.23%,48.25,3,,,,N
National Fuel Gas Co,NFG,Utilities,0.43%,0.24%,47.25,3,3,3,3,N
W R Grace & Co,GRA,Mat.,0.22%,0.00%,49.5,3,3,3,3,N
Leslie's Inc,LESL,Comm.,0.00%,0.00%,,,,,,N
Acadia Healthcare Co Inc,ACHC,Health,0.00%,0.00%,,,,,,N
Schneider National Inc,SNDR,Ind.,0.13%,0.00%,48.75,3,2,2,2,N
Proto Labs Inc,PRLB,Ind.,0.00%,0.00%,,,,,,N
Amkor Technology Inc,AMKR,IT,0.16%,0.00%,41.75,2,,,,N
Portland General Electric Co,POR,Utilities,0.38%,0.68%,49.5,3,4,3,4,N
Workiva Inc,WK,IT,0.00%,0.00%,,,,,,N
Radian Group Inc,RDN,Fin.,0.25%,1.19%,35,2,2,3,4,N
Sage Therapeutics Inc,SAGE,Health,0.00%,0.00%,,,,,,N
Black Hills Corp,BKH,Utilities,0.37%,0.62%,56.25,4,3,3,3,N
Stitch Fix Inc,SFIX,Comm.,0.00%,0.00%,,,,,,N
Verint Systems Inc,VRNT,IT,0.00%,0.00%,,,,,,N
Scientific Games Corp,SGMS,Comm.,0.00%,0.00%,,,,,,N
Diodes Inc,DIOD,IT,0.00%,0.00%,,,,,,N
Rackspace Technology Inc,RXT,IT,0.00%,0.00%,,,,,,N
Southwest Gas Holdings Inc,SWX,Utilities,0.38%,0.74%,54.75,3,3,3,3,N
Perspecta Inc,PRSP,IT,0.12%,0.00%,38,2,2,2,2,N
Jamf Holding Corp,JAMF,IT,0.00%,0.00%,,,,,,N
LivePerson Inc,LPSN,IT,0.00%,0.00%,,,,,,N
Cloudera Inc,CLDR,IT,0.00%,0.00%,,,,,,N
Vicor Corp,VICR,Ind.,0.00%,0.00%,,,,,,N
TG Therapeutics Inc,TGTX,Health,0.00%,0.00%,,,,,,N
Wingstop Inc,WING,Comm.,0.42%,0.00%,63.25,4,4,2,3,N
Element Solutions Inc,ESI,Mat.,0.11%,0.00%,37.25,2,,,,N
Cushman & Wakefield PLC,CWK,RE,0.00%,0.00%,,,,,,N
Webster Financial Corp,WBS,Fin.,0.38%,0.12%,43.75,2,2,3,4,N
fuboTV Inc,FUBO,IT,0.00%,0.00%,,,,,,N
Cohen & Steers Inc,CNS,Fin.,0.30%,0.11%,59.75,4,4,4,4,N
Open Lending Corp,LPRO,Fin.,0.00%,0.00%,,,,,,N
Macy's Inc,M,Comm.,0.00%,-0.12%,,,,,,N
Seer Inc,SEER,Health,0.00%,0.00%,,,,,,N
Parsons Corp,PSN,Ind.,0.00%,0.00%,,,,,,N
STAAR Surgical Co,STAA,Health,0.00%,0.00%,,,,,,N
Veracyte Inc,VCYT,Health,0.00%,0.00%,,,,,,N
SunPower Corp,SPWR,IT,0.00%,0.00%,,,,,,N
Qualys Inc,QLYS,IT,0.00%,0.00%,,,,,,N
Covetrus Inc,CVET,Health,0.00%,0.00%,,,,,,N
Murphy USA Inc,MUSA,Comm.,0.76%,0.00%,43.75,2,,,,N
Antero Midstream Corp,AM,Energy,0.16%,0.00%,44.25,2,2,2,3,N
Altra Industrial Motion Corp,AIMC,Ind.,0.43%,-0.11%,26.25,1,,,,N
Valmont Industries Inc,VMI,Ind.,0.13%,0.37%,44,2,2,3,3,N
Grocery Outlet Holding Corp,GO,Stap.,0.00%,0.00%,,,,,,N
Visteon Corp,VC,Comm.,0.00%,0.00%,,,,,,N
EnerSys,ENS,Ind.,0.84%,0.00%,3.75,1,2,2,2,N
UniFirst Corp/MA,UNF,Ind.,0.47%,0.46%,51,3,3,4,4,N
Olin Corp,OLN,Mat.,0.33%,0.00%,3,1,1,2,1,N
AdaptHealth Corp,AHCO,Health,0.00%,0.00%,,,,,,N
Equitrans Midstream Corp,ETRN,Energy,0.75%,0.00%,19,1,1,1,1,N
Tenet Healthcare Corp,THC,Health,0.00%,0.00%,,,,,,N
First National of Nebraska Inc,FINN,#N/A,0.00%,0.12%,,,,,,N
Advantage Solutions Inc,ADV,Disc.,0.00%,0.00%,,,,,,N
Trupanion Inc,TRUP,Fin.,0.00%,0.00%,,,,,,N
Avient Corp,AVNT,Mat.,0.21%,0.14%,57,4,,,,N
Shake Shack Inc,SHAK,Comm.,0.00%,0.00%,,,,,,N
FireEye Inc,FEYE,IT,0.00%,0.00%,,,,,,N
National Vision Holdings Inc,EYE,Comm.,0.00%,0.00%,,,,,,N
SPS Commerce Inc,SPSC,IT,0.00%,0.00%,,,,,,N
Stamps.com Inc,STMP,Comm.,0.00%,0.00%,,,,,,N
WD-40 Co,WDFC,Stap.,0.19%,0.12%,63,4,4,4,4,N
Corsair Gaming Inc,CRSR,IT,0.00%,0.00%,,,,,,N
Wintrust Financial Corp,WTFC,Fin.,0.18%,0.25%,51.5,3,3,3,4,N
Brink's Co/The,BCO,Ind.,0.83%,0.84%,4.25,2,2,2,2,N
WESCO International Inc,WCC,Ind.,0.00%,0.00%,,,,,,N
Community Bank System Inc,CBU,Fin.,0.27%,0.64%,54,3,4,4,4,N
Balchem Corp,BCPC,Mat.,0.53%,0.11%,66.25,5,5,5,5,N
World Wrestling Entertainment,WWE,Disc.,1.00%,0.00%,44.75,2,2,2,1,N
FormFactor Inc,FORM,IT,0.00%,0.00%,,,,,,N
Meritage Homes Corp,MTH,Comm.,0.00%,0.00%,,,,,,N
Adient PLC,ADNT,Comm.,0.00%,0.00%,,,,,,N
H&R Block Inc,HRB,Comm.,0.66%,0.54%,47.25,3,3,2,3,N
Taylor Morrison Home Corp,TMHC,Comm.,0.00%,0.00%,,,,,,N
Itron Inc,ITRI,IT,0.00%,0.00%,,,,,,N
LendingTree Inc,TREE,Fin.,0.00%,0.00%,,,,,,N
MACOM Technology Solutions Hol,MTSI,IT,0.00%,0.00%,,,,,,N
Select Medical Holdings Corp,SEM,Health,0.00%,0.00%,,,,,,N
Vonage Holdings Corp,VG,Disc.,0.00%,0.00%,,,,,,N
TTEC Holdings Inc,TTEC,IT,0.20%,0.52%,66.25,5,,,,N
Coherent Inc,COHR,IT,0.00%,0.00%,,,,,,N
Insperity Inc,NSP,Ind.,0.20%,0.34%,63,4,5,4,5,N
PagerDuty Inc,PD,IT,0.00%,0.00%,,,,,,N
SpringWorks Therapeutics Inc,SWTX,Health,0.00%,0.00%,,,,,,N
Sterling Bancorp/DE,STL,Fin.,0.16%,0.00%,25,1,1,1,2,N
Spire Inc,SR,Utilities,0.46%,0.61%,52.75,3,3,3,4,N
CareDx Inc,CDNA,Health,0.00%,0.00%,,,,,,N
UMB Financial Corp,UMBF,Fin.,0.19%,0.56%,56.5,4,3,3,4,N
Lordstown Motors Corp,RIDE,Comm.,0.00%,0.00%,,,,,,N
LCI Industries,LCII,Comm.,0.23%,0.70%,55.25,4,3,4,4,N
Ryder System Inc,R,Ind.,0.36%,0.75%,47.5,3,3,3,3,N
UFP Industries Inc,UFPI,Ind.,0.91%,0.13%,66.25,5,,,5,N
Sanderson Farms Inc,SAFM,Stap.,0.13%,0.29%,54,3,2,2,3,N
BMC Stock Holdings Inc,BMCH,Ind.,0.00%,0.00%,,,,,,N
Cardlytics Inc,CDLX,Disc.,0.00%,0.00%,,,,,,N
AAON Inc,AAON,Ind.,0.57%,0.12%,64.75,5,4,4,4,N
Progyny Inc,PGNY,Health,0.00%,0.00%,,,,,,N
KB Home,KBH,Comm.,0.18%,0.33%,54,3,2,2,2,N
Avnet Inc,AVT,IT,0.24%,0.49%,4,2,2,3,3,N
Umpqua Holdings Corp,UMPQ,Fin.,0.55%,0.63%,4.5,2,2,2,2,N
American Eagle Outfitters Inc,AEO,Comm.,0.27%,-0.11%,41.25,2,2,2,2,N
TEGNA Inc,TGNA,Disc.,0.27%,-0.16%,3.25,1,2,2,2,N
Franklin Electric Co Inc,FELE,Ind.,0.90%,0.11%,59.5,4,,,,N
Home BancShares Inc/AR,HOMB,Fin.,0.29%,0.14%,52.25,3,3,3,4,N
Kirby Corp,KEX,Ind.,0.00%,0.00%,,,,,,N
MDC Holdings Inc,MDC,Comm.,0.33%,0.11%,56,4,4,3,3,N
ManTech International Corp/VA,MANT,IT,0.14%,0.88%,59.5,4,4,4,4,N
Shockwave Medical Inc,SWAV,Health,0.00%,0.00%,,,,,,N
Merit Medical Systems Inc,MMSI,Health,0.00%,0.00%,,,,,,N
New Jersey Resources Corp,NJR,Utilities,0.37%,0.68%,6.25,4,4,4,3,N
Brighthouse Financial Inc,BHF,Fin.,0.00%,0.00%,,,,,,N
Focus Financial Partners Inc,FOCS,Fin.,0.00%,0.00%,,,,,,N
Cerence Inc,CRNC,IT,0.00%,0.00%,,,,,,N
Bank of Hawaii Corp,BOH,Fin.,0.35%,0.83%,46.5,3,3,4,4,N
Aerojet Rocketdyne Holdings In,AJRD,Ind.,0.00%,0.00%,,,,,,N
Deciphera Pharmaceuticals Inc,DCPH,Health,0.00%,0.00%,,,,,,N
CNO Financial Group Inc,CNO,Fin.,0.22%,0.12%,61.25,4,4,4,4,N
Viavi Solutions Inc,VIAV,IT,0.00%,0.00%,,,,,,N
Velodyne Lidar Inc,VLDR,IT,0.00%,0.00%,,,,,,N
Inari Medical Inc,NARI,Health,0.00%,0.00%,,,,,,N
Arconic Corp,ARNC,Mat.,0.00%,0.00%,,,,,1,N
Ambarella Inc,AMBA,IT,0.00%,0.00%,,,,,,N
Sensient Technologies Corp,SXT,Mat.,0.21%,0.84%,51.75,3,3,4,3,N
Univar Solutions Inc,UNVR,Ind.,0.00%,0.00%,,,,,,N
BellRing Brands Inc,BRBR,Stap.,0.00%,0.00%,,,,,,N
Cracker Barrel Old Country Sto,CBRL,Comm.,0.00%,-0.18%,,,,,4,N
MicroStrategy Inc,MSTR,IT,0.00%,0.00%,,,,,,N
Nektar Therapeutics,NKTR,Health,0.00%,0.00%,,,,,,N
Dorman Products Inc,DORM,Comm.,0.00%,0.00%,,,,,,N
Patterson Cos Inc,PDCO,Health,0.35%,0.39%,41.25,2,,,,N
Glaukos Corp,GKOS,Health,0.00%,0.00%,,,,,,N
Pactiv Evergreen Inc,PTVE,Mat.,0.00%,0.00%,,,,,,N
FNB Corp/PA,FNB,Fin.,0.55%,0.00%,34.5,2,2,1,2,N
OPKO Health Inc,OPK,Health,0.00%,0.00%,,,,,,N
AMN Healthcare Services Inc,AMN,Health,0.00%,0.00%,,,,,,N
Kennametal Inc,KMT,Ind.,0.23%,0.13%,25.25,1,1,1,1,N
Laureate Education Inc,LAUR,Comm.,0.00%,0.00%,,,,,,N
ALLETE Inc,ALE,Utilities,0.40%,0.41%,48.75,3,3,3,3,N
Mimecast Ltd,MIME,IT,0.00%,0.00%,,,,,,N
Casella Waste Systems Inc,CWST,Ind.,0.00%,0.00%,,,,,,N
FS KKR Capital Corp II,FSKR,Fin.,0.13%,0.00%,34.25,2,,,,N
Agios Pharmaceuticals Inc,AGIO,Health,0.00%,0.00%,,,,,,N
Arcturus Therapeutics Holdings,ARCT,Health,0.00%,0.00%,,,,,,N
GATX Corp,GATX,Ind.,0.24%,0.48%,51.75,3,3,4,4,N
Axsome Therapeutics Inc,AXSM,Health,0.00%,0.00%,,,,,,N
SVMK Inc,SVMK,IT,0.00%,0.00%,,,,,,N
First Hawaiian Inc,FHB,Fin.,0.44%,0.00%,38.5,2,2,2,3,N
Bluebird Bio Inc,BLUE,Health,0.00%,0.00%,,,,,,N
White Mountains Insurance Grou,WTM,Fin.,1.00%,0.00%,38.5,2,2,2,2,N
Intellia Therapeutics Inc,NTLA,Health,0.00%,0.00%,,,,,,N
Applied Industrial Technologie,AIT,Ind.,0.16%,0.35%,53.5,3,,,,N
Green Dot Corp,GDOT,Fin.,0.00%,0.00%,,,,,,N
Hyliion Holdings Corp,HYLN,Ind.,0.00%,0.00%,,,,,,N
Acushnet Holdings Corp,GOLF,Comm.,0.15%,0.00%,47.25,3,,,,N
Option Care Health Inc,OPCH,Health,0.00%,0.00%,,,,,,N
Acacia Communications Inc,ACIA,IT,0.00%,0.00%,,,,,,N
PJT Partners Inc,PJT,Fin.,0.27%,0.00%,51.75,3,,,,N
Energizer Holdings Inc,ENR,Stap.,0.28%,0.19%,43,2,2,2,2,N
PacWest Bancorp,PACW,Fin.,0.39%,-0.76%,23.25,1,1,1,2,N
Rogers Corp,ROG,IT,0.00%,0.00%,,,,,,N
Allegiant Travel Co,ALGT,Ind.,0.00%,-0.13%,,,,,,N
Hillenbrand Inc,HI,Ind.,0.22%,0.12%,59.5,4,,,,N
Moelis & Co,MC,Fin.,0.33%,0.33%,28.75,1,,,,N
Accolade Inc,ACCD,Health,0.00%,0.00%,,,,,,N
Eastern Bankshares Inc,EBC,Fin.,0.00%,0.00%,,,,,,N
Everest Re Group Ltd,RE,Fin.,0.26%,0.92%,55.75,4,4,5,5,Y
IHS Markit Ltd,INFO,Ind.,0.76%,0.00%,4.25,2,2,2,2,Y
Chubb Ltd,CB,Fin.,0.23%,0.34%,51.25,3,3,4,4,Y
TE Connectivity Ltd,TEL,IT,0.17%,0.82%,53.5,3,3,3,4,Y
Garmin Ltd,GRMN,Comm.,0.24%,0.36%,58.75,4,4,4,4,Y
TechnipFMC PLC,FTI,Energy,0.14%,0.00%,32.75,2,1,1,1,Y
Accenture PLC,ACN,IT,0.13%,0.91%,66.5,5,4,5,5,Y
Willis Towers Watson PLC,WLTW,Fin.,0.13%,-0.35%,62.75,4,4,4,4,Y
Allegion plc,ALLE,Ind.,0.20%,0.26%,61,4,4,4,4,Y
Perrigo Co PLC,PRGO,Health,0.21%,0.12%,52.5,3,3,3,2,Y
Trane Technologies PLC,TT,Ind.,0.15%,0.13%,46.25,3,,,,Y
Pentair PLC,PNR,Ind.,0.16%,-1.00%,35,2,4,4,4,Y
Medtronic PLC,MDT,Health,0.20%,0.96%,51.75,3,3,4,4,Y
Linde PLC,LIN,Mat.,0.15%,0.61%,6.5,4,5,4,5,Y
Aptiv PLC,APTV,Comm.,0.00%,-0.15%,,,,,,Y
Amcor PLC,AMCR,Mat.,0.40%,0.00%,46.5,3,2,1,1,Y
Alexandria Real Estate Equitie,ARE,RE,0.24%,0.68%,61,4,4,3,4,N
American Tower Corp,AMT,RE,0.22%,0.21%,6.75,4,4,5,5,Y
Apartment Investment and Manag,AIV,RE,0.00%,0.49%,,,3,4,3,N
AvalonBay Communities Inc,AVB,RE,0.40%,0.49%,52.25,3,3,3,3,Y
Boston Properties Inc,BXP,RE,0.41%,0.36%,49.25,3,3,4,3,Y
Crown Castle International Cor,CCI,RE,0.33%,0.87%,55,3,4,4,4,N
Digital Realty Trust Inc,DLR,RE,0.32%,0.57%,5.75,3,3,3,4,Y
Duke Realty Corp,DRE,RE,0.26%,0.15%,53.5,3,4,4,4,Y
Equinix Inc,EQIX,RE,0.15%,-0.97%,53.5,3,3,4,4,Y
Equity Residential,EQR,RE,0.47%,0.17%,28,1,2,2,2,Y
Essex Property Trust Inc,ESS,RE,0.35%,0.77%,55.75,4,4,4,4,Y
Extra Space Storage Inc,EXR,RE,0.32%,1.00%,47.25,3,3,3,3,Y
Federal Realty Investment Trus,FRT,RE,0.50%,0.31%,47.5,3,3,4,4,N
Healthpeak Properties Inc,PEAK,RE,0.49%,-0.81%,25,1,,,,Y
Host Hotels & Resorts Inc,HST,RE,0.00%,-0.13%,,,,,2,Y
Iron Mountain Inc,IRM,RE,0.84%,0.53%,43.25,2,3,3,3,Y
Kimco Realty Corp,KIM,RE,0.43%,-0.11%,31,1,2,,3,Y
Mid-America Apartment Communit,MAA,RE,0.32%,0.54%,52,3,4,4,4,N
Prologis Inc,PLD,RE,0.23%,0.88%,53,3,4,4,4,Y
Public Storage,PSA,RE,0.35%,0.42%,37.75,2,2,2,2,Y
Realty Income Corp,O,RE,0.45%,0.42%,52,3,3,4,4,Y
Regency Centers Corp,REG,RE,0.52%,0.42%,45.25,2,2,3,3,Y
SBA Communications Corp,SBAC,RE,0.66%,0.00%,38,2,2,1,2,Y
SL Green Realty Corp,SLG,RE,0.62%,0.16%,56,4,4,4,4,Y
Simon Property Group Inc,SPG,RE,0.70%,-0.17%,21.75,1,1,3,3,Y
UDR Inc,UDR,RE,0.37%,0.54%,45.5,2,4,4,4,Y
Ventas Inc,VTR,RE,0.37%,-0.55%,21.75,1,1,1,3,Y
Vornado Realty Trust,VNO,RE,0.57%,-0.11%,13.75,1,,,,Y
Welltower Inc,WELL,RE,0.38%,-0.39%,21.5,1,1,1,2,Y
Weyerhaeuser Co,WY,RE,0.23%,-0.67%,3.25,1,,,2,Y
